"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"BT1";"JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal";1;"JST-PH_2Pin_Battery";;;
2;"C_3V3_1, C_XBEE_VCC4";"C_0603_1608Metric";2;"10µF";;;
3;"C_3V3_2, C_DBNC1, C_HALL1, C_OLED_2, C_RGB1, C_STICK1, C_SYS_2, C_VIN_2, C_XBEE_RC1, C_XBEE_VCC1";"C_0402_1005Metric";10;"100nF";;;
4;"C_3V3_3";"C_0402_1005Metric";1;"39pF";;;
5;"C_BAT1, C_BUCK_IN1, C_OLED_1, C_SYS_1, C_VIN_1";"C_0805_2012Metric";5;"10µF";;;
6;"C_BUCK_OUT1";"C_0805_2012Metric";1;"22µF";;;
7;"C_XBEE_VCC2";"C_0603_1608Metric";1;"1µF";;;
8;"C_XBEE_VCC3";"C_0402_1005Metric";1;"47pF";;;
9;"D_OR1, D_OR2";"D_SOD-123";2;"1N4148W";;;
10;"D_RGB1";"LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm";1;"SK6812MINI-E";;;
11;"D_VBUS_TVS1";"D_SOD-323";1;"PESD5V0S1BA";;;
12;"J_USB1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB-C";;;
13;"L_BUCK1";"L_Bourns-SRN4018";1;"2.2µH";;;
14;"Q_LATCH1";"SOT-23";1;"2N7002";;;
15;"Q_PWR1";"SOT-23";1;"DMG2305UX";;;
16;"R_BOOT_PU1, R_EN_PU1, R_LATCH_G1, R_STAT1, R_STAT2, R_TS1, R_XBEE_RST1";"R_0402_1005Metric";7;"10kΩ";;;
17;"R_BTN_PU1, R_GATE1, R_PWR_SENSE1, R_VSYS2";"R_0402_1005Metric";4;"100kΩ";;;
18;"R_CC1, R_CC2";"R_0402_1005Metric";2;"5.1kΩ";;;
19;"R_FB1";"R_0402_1005Metric";1;"255kΩ";;;
20;"R_FB2";"R_0402_1005Metric";1;"56.2kΩ";;;
21;"R_ISET1";"R_0402_1005Metric";1;"600Ω";;;
22;"R_RGB1";"R_0402_1005Metric";1;"330Ω";;;
23;"R_USB_DM1, R_USB_DP1";"R_0402_1005Metric";2;"27Ω";;;
24;"R_VSET1";"R_0402_1005Metric";1;"18kΩ";;;
25;"R_VSYS1";"R_0402_1005Metric";1;"200kΩ";;;
26;"R_XBEE_RC1";"R_0402_1005Metric";1;"100Ω";;;
27;"SW_BOOT1";"SW_SPST_EVQP2_ShortPushTravel_H2.1mm";1;"Panasonic_EVQP2";;;
28;"SW_MACRO1, SW_MACRO2, SW_MACRO3, SW_MACRO4, SW_MACRO5, SW_MACRO6";"SW_Push_1TS009xxxx-xxxx-xxxx_6x6x5mm";6;"6x6x5mm SMD Tactile";;;
29;"SW_PWR1, SW_THR_DN1, SW_THR_UP1, SW_TRIG_DIG1, SW_VOL_DN1, SW_VOL_UP1";"SW_Push_1P1T-MP_NO_Horizontal_Alps_SKRTLAE010";6;"Alps_SKRTLAE010";;;
30;"U_BUCK1";"SOT-23-5";1;"TLV62569";;;
31;"U_CHG1";"IC_BQ25185DLHR";1;"bq25185";;;
32;"U_MCU1";"ESP32-S3-WROOM-1";1;"ESP32-S3-WROOM-1-N8";;;
33;"U_OLED1";"JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal";1;"JST-SH_4Pin_OLED";;;
